Gene ID	Gene Name	Design Element	'heat-killed Escherichia coli' vs 'none' in 'normal'.foldChange	'heat-killed Escherichia coli' vs 'none' in 'normal'.pValue	'heat-killed Escherichia coli' vs 'none' in 'normal'.tStat	'heat-killed Escherichia coli' vs 'none' in 'ulcerative colitis'.foldChange	'heat-killed Escherichia coli' vs 'none' in 'ulcerative colitis'.pValue	'heat-killed Escherichia coli' vs 'none' in 'ulcerative colitis'.tStat	'ulcerative colitis' vs 'normal' in 'heat-killed Escherichia coli'.foldChange	'ulcerative colitis' vs 'normal' in 'heat-killed Escherichia coli'.pValue	'ulcerative colitis' vs 'normal' in 'heat-killed Escherichia coli'.tStat	'ulcerative colitis' vs 'normal' in 'none'.foldChange	'ulcerative colitis' vs 'normal' in 'none'.pValue	'ulcerative colitis' vs 'normal' in 'none'.tStat
ENSG00000002745	WNT16	221113_s_at				0.3	1.54E-04	4.505163149						
ENSG00000002746	HECW1	215584_at	0.1	0.491972818	0.944243791	0.1	0.09001816	1.895755231						
ENSG00000002834	LASP1	200618_at	-1.3	3.60E-05	-8.12685928	-1.4	9.95E-15	-13.18463177	-0.2	0.998683232	-0.853600594			
ENSG00000002919	SNX11	220140_s_at	0.3	0.062194943	2.503674703	0.2	0.029276535	2.453776338						
ENSG00000002933	TMEM176A	218345_at	-0.4	0.395555619	-1.151928227	-0.5	0.023461243	-2.555975203	-0.3	0.998683232	-1.030133857	-0.3	0.779912427	-1.220921352
ENSG00000003056	M6PR	200901_s_at	-0.2	0.207332679	-1.674844277	-0.2	9.71E-04	-3.844412139						
ENSG00000003096	KLHL13	227875_at	-1.8	0.001668484	-4.860906949	-1.4	1.85E-05	-5.234525522	0.1	0.998683232	0.681214622	-0.3	0.942277921	-0.592520395
ENSG00000003137	CYP26B1	234721_s_at	0.3	0.104005981	2.162851	0.2	0.059640379	2.110638313	-0.3	0.998683232	-1.623739622			
ENSG00000003147	ICA1	207949_s_at	-0.7	0.001072159	-5.182747811	-0.7	1.02E-06	-6.199764491	0.2	0.998683232	1.371865334			
ENSG00000003249	DBNDD1	222234_s_at	0.1	0.421016933	1.094154265	0.2	0.003540414	3.350649477	-0.1	0.998683232	-1.006221615			
ENSG00000003393	ALS2	226291_at	-1.2	7.56E-05	-7.376250277	-1.4	3.69E-13	-11.59200539						
ENSG00000003400	CASP10	205467_at	1	0.043076237	2.741867888	1.1	6.44E-06	5.586418246	0.1	0.998683232	0.244179404			
ENSG00000003402	CFLAR	214486_x_at	2.4	2.44E-07	15.41340227	2.1	1.23E-22	24.34094732						
ENSG00000003436	TFPI	213258_at	0.1	0.878711336	0.230232017	0.2	0.445990559	0.859840826	0.3	0.998683232	0.81440045	0.3	0.818128932	1.096719337
ENSG00000003509	NDUFAF7	223560_s_at	-0.9	0.001122225	-5.149183082	-0.7	7.54E-09	-7.854572605	0.2	0.998683232	1.199643474			
ENSG00000003756	RBM5	201395_at	0.3	0.054744688	2.586746357	0.3	1.79E-05	5.245636729	0.1	0.998683232	1.088476063			
ENSG00000003987	MTMR7	243804_at				0.1	0.144762567	1.628758666	0.2	0.998683232	1.311451781			
ENSG00000003989	SLC7A2	225516_at	2	0.001997431	4.734502447	1.2	6.72E-07	6.33944805	-1	0.998683232	-2.254667342			
ENSG00000004139	SARM1	213259_s_at	-0.7	0.024826635	-3.091861327	-0.8	2.06E-08	-7.512034938	0.2	0.998683232	1.136540702			
ENSG00000004142	POLDIP2	217806_s_at	-0.3	0.067082176	-2.454033029	-0.3	4.02E-05	-4.97167967						
ENSG00000004399	PLXND1	38671_at	-0.5	0.051395835	-2.626158136	-0.7	3.93E-06	-5.752489583	-0.2	0.998683232	-0.912942231			
ENSG00000004455	AK2	212174_at	-0.2	0.210978681	-1.662181405	-0.3	0.001194461	-3.767177503						
ENSG00000004468	CD38	205692_s_at	4.1	3.93E-04	5.943504982	4.2	2.45E-14	12.76680085	0.3	0.998683232	0.849619863	0.2	0.97179119	0.366361723
ENSG00000004478	FKBP4	200895_s_at	-0.4	0.026824603	-3.04344826	-0.4	0.022640131	-2.572058926	-0.2	0.998683232	-0.850231454			
ENSG00000004487	KDM1A	212348_s_at	-0.4	0.034142055	-2.889819087	-0.2	0.062373108	-2.087970751	0.2	0.998683232	1.295574762			
ENSG00000004660	CAMKK1	223460_at	-1.5	3.21E-06	-10.98881007	-1.4	4.09E-13	-11.54948845	0.2	0.998683232	0.953629828			
ENSG00000004766	VPS50	226031_at	-0.9	7.71E-05	-7.355446948	-0.9	1.07E-13	-12.11731325						
ENSG00000004776	HSPB6	226304_at	-0.1	0.82567764	-0.32828155	0.2	0.134512594	1.671404522						
ENSG00000004777	ARHGAP33	213827_at	-0.7	0.017542606	-3.307427519	-0.6	4.72E-04	-4.108544181	0.2	0.998683232	0.996456401			
ENSG00000004779	NDUFAB1	202077_at				-0.3	1.90E-04	-4.432557071						
ENSG00000004799	PDK4	225207_at	-6.3	2.33E-06	-11.48529398	-5	1.24E-13	-12.05701979	0.6	0.998683232	1.701237953	-0.7	0.839636144	-1.019200487
ENSG00000004809	SLC22A16	232232_s_at	-0.8	0.034776821	-2.877674026	-0.5	0.102812454	-1.823406289	-0.1	0.998683232	-0.294272446	-0.5	0.81645051	-1.131365971
ENSG00000004846	ABCB5	243167_at	2.6	0.006326419	3.956030703	2.2	5.96E-08	7.15144166	-0.4	0.998683232	-0.769212074			
ENSG00000004848	ARX	238878_at	0.3	0.238295509	1.571039119	0.1	0.287341373	1.189458544	-0.1	0.998683232	-0.567506886			
ENSG00000004864	SLC25A13	203775_at	0.1	0.821892722	0.336086461	-0.1	0.220110475	-1.369268505	-0.2	0.998683232	-1.350074434			
ENSG00000004866	ST7	207871_s_at	-0.7	0.002529418	-4.568451102	-0.3	3.50E-04	-4.215574033	0.4	0.909328309	3.309671608			
ENSG00000004897	CDC27	217880_at				0.2	3.57E-04	4.208710369						
ENSG00000004939	SLC4A1	205592_at				0.2	0.00750512	3.046987251						
ENSG00000004948	CALCR	207887_s_at	0.1	0.596847424	0.743201546	0.2	0.069201538	2.03402676	-0.2	0.998683232	-1.244851938			
ENSG00000004961	HCCS	203745_at	-0.3	0.018663485	-3.26901155	-0.4	1.43E-08	-7.636087334	0.1	0.998683232	0.589897902			
ENSG00000004975	DVL2	57532_at	-1.7	1.85E-06	-11.87407137	-1.8	1.01E-18	-18.03562775						
ENSG00000005001	PRSS22	205847_at	0.3	0.100179051	2.188773092	0.3	1.31E-04	4.563634114	-0.1	0.998683232	-0.555877899			
ENSG00000005007	UPF1	211168_s_at	-0.2	0.270290057	-1.471845207	-0.1	0.166023227	-1.546275099	0.2	0.998683232	1.549386269			
ENSG00000005020	SKAP2	204362_at				-0.2	3.48E-06	-5.793139304						
ENSG00000005022	SLC25A5	200657_at	-0.3	0.009150965	-3.716440841	-0.3	2.41E-07	-6.680455727						
ENSG00000005059	MCUB	218802_at	-0.2	0.489540242	-0.949241686				0.2	0.998683232	0.909797804			
ENSG00000005073	HOXA11	208493_at	0.5	0.028043845	3.015384214	0.2	0.003888023	3.313033268	-0.3	0.998683232	-2.206390608			
ENSG00000005100	DHX33	226262_at	-0.8	0.002293363	-4.637709302	-0.6	5.33E-05	-4.874568949	0.3	0.998683232	1.171489029			
ENSG00000005102	MEOX1	205619_s_at	0.1	0.545050196	0.838884453	0.3	0.009706805	2.938813464	0.1	0.998683232	0.814604498			
ENSG00000005108	THSD7A	214920_at	0.2	0.135625609	1.981207166	0.2	0.015813024	2.731501662	0.1	0.998683232	1.085343645			
ENSG00000005156	LIG3	229861_at				0.2	0.009795658	2.934884623						
ENSG00000005175	RPAP3	218842_at	-0.9	9.01E-05	-7.207900111	-0.7	5.17E-10	-8.791820512						
ENSG00000005187	ACSM3	205942_s_at	-0.4	0.299243427	-1.389180262	-0.3	0.011750259	-2.858393426	0.1	0.998683232	0.392392659			
ENSG00000005189	REXO5	208107_s_at	0.3	0.169417682	1.821606827	-0.3	0.047186409	-2.228138725	-0.1	0.998683232	-0.727625141			
ENSG00000005194	CIAPIN1	208968_s_at	-0.2	0.358370336	-1.23886138	-0.1	0.535522385	-0.703760069	0.1	0.998683232	0.762736237			
ENSG00000005206	SPPL2B	225248_at	-0.1	0.398122088	-1.146371475	-0.1	0.039156084	-2.317334091						
ENSG00000005238	FAM214B	207765_s_at	-0.3	0.261678208	-1.497334197	-0.2	0.031193523	-2.424924698	0.1	0.998683232	0.855512644			
ENSG00000005243	COPZ2	219561_at				-0.1	0.279165428	-1.209587534						
ENSG00000005249	PRKAR2B	203680_at				-0.9	0.012557269	-2.829852831	-0.1	0.998683232	-0.094343392	0.7	0.664230191	1.500939937
ENSG00000005302	MSL3	207551_s_at	-0.3	0.21152043	-1.660423903	-0.1	0.299952492	-1.159689595	0.2	0.998683232	0.951809201			
ENSG00000005339	CREBBP	202160_at	0.3	0.068095378	2.443971234	0.4	3.68E-05	5.002158866	-0.1	0.998683232	-0.796805371			
ENSG00000005379	TSPOAP1	205839_s_at	0.3	0.395159936	1.153253608	0.1	0.545660247	0.687349859				0.1	0.958265813	0.509809786
ENSG00000005381	MPO	203949_at	-0.8	0.057330388	-2.557037996	-1	1.42E-05	-5.323808986	0.4	0.998683232	1.671910334	0.6	0.393491618	2.305448351
ENSG00000005421	PON1	206345_s_at				0.1	0.180190261	1.496823647						
ENSG00000005436	GCFC2	216305_s_at	-0.5	0.03392458	-2.893953444	-0.5	0.001282747	-3.739754196	0.1	0.998683232	0.569892432			
ENSG00000005448	WDR54	225898_at	-0.2	0.714188867	-0.531726597	-0.3	0.075994349	-1.985605455	0.1	0.998683232	0.367538571	0.2	0.812572697	1.135998914
ENSG00000005469	CROT	204573_at	-1.9	4.10E-05	-7.984816279	-1.7	2.46E-18	-17.49079262	0.3	0.998683232	1.322254503			
ENSG00000005471	ABCB4	207819_s_at	0.2	0.61529624	0.709019458	-0.4	0.111361738	-1.779172401	-0.3	0.998683232	-0.826252491	0.3	0.861243021	0.943115897
ENSG00000005483	KMT2E	226100_at				0.3	5.24E-04	4.070581846	-0.1	0.998683232	-0.785601633			
ENSG00000005486	RHBDD2	222995_s_at	-0.2	0.529837903	-0.867993675	-0.5	0.002580909	-3.473433594	-0.1	0.998683232	-0.290340486			
ENSG00000005513	SOX8	226913_s_at				0.1	0.604371798	0.591605511	0.3	0.998683232	1.445158325			
ENSG00000005700	IBTK	210970_s_at	0.5	8.40E-04	5.361000012	0.5	2.70E-13	11.72088323						
ENSG00000005801	ZNF195	204234_s_at	-0.4	0.051614108	-2.623496738	-0.4	8.48E-05	-4.713908322	0.2	0.998683232	0.873544119			
ENSG00000005810	MYCBP2	201960_s_at	-0.3	0.135541827	-1.981674498	-0.3	0.001492147	-3.682988624	0.1	0.998683232	0.694736532			
ENSG00000005812	FBXL3	225132_at	0.3	0.058166292	2.547314728	0.2	0.012591116	2.828625462	-0.1	0.998683232	-0.866627494			
ENSG00000005844	ITGAL	213475_s_at	-1.1	6.11E-04	-5.594894131	-1.5	4.45E-13	-11.5160635	-0.1	0.998683232	-0.401406285			
ENSG00000005882	PDK2	202590_s_at	-1.2	2.09E-05	-8.68865401	-1.1	7.30E-12	-10.38295168	0.2	0.998683232	1.07574811			
ENSG00000005889	ZFX	214678_x_at	1	2.72E-04	6.250404482	1	1.13E-09	8.512280113	-0.2	0.998683232	-1.181027942			
ENSG00000005893	LAMP2	203041_s_at				-0.1	0.135457451	-1.667311989						
ENSG00000005961	ITGA2B	206493_at	0.3	0.109841345	2.125976213	0.4	8.64E-08	7.025878488						
ENSG00000005981	ASB4	237721_s_at	0.4	0.02024664	3.218849627	0.3	6.72E-05	4.794609104						
ENSG00000006007	GDE1	226214_at	-2.1	3.12E-07	-14.95658603	-1.9	3.61E-20	-20.1887024	0.2	0.998683232	1.335493827			
ENSG00000006015	REX1BD	51200_at	-0.8	0.00113364	-5.141099772	-0.8	3.07E-15	-13.73212588	0.1	0.998683232	0.556724008			
ENSG00000006016	CRLF1	206315_at	-0.1	0.822746147	-0.334264758	0.2	0.005414294	3.180874746						
ENSG00000006025	OSBPL7	227946_at	-0.7	0.005489689	-4.05032751	-1.1	3.38E-10	-8.945289848	-0.1	0.998683232	-0.570002248			
ENSG00000006042	TMEM98	223170_at				0.1	0.127871748	1.700508221	0.1	0.998683232	0.670845037			
ENSG00000006047	YBX2	219704_at	0.4	0.07746278	2.36067368	0.3	0.001270604	3.743704074	-0.1	0.998683232	-0.597269287			
ENSG00000006059	KRT33A	208483_x_at	0.1	0.357170048	1.241524062	0.4	6.82E-05	4.789720952	-0.1	0.998683232	-0.757394736			
ENSG00000006062	MAP3K14	205192_at	-1.1	4.85E-05	-7.812762134	-1	4.05E-12	-10.61483372	0.1	0.998683232	0.537961591			
ENSG00000006071	ABCC8	210246_s_at	0.1	0.668061986	0.613701094	0.4	7.09E-04	3.959731519	-0.1	0.998683232	-0.661992777			
ENSG00000006116	CACNG3	206384_at	0.1	0.672882344	0.605506585	0.2	0.002854216	3.434295291						
ENSG00000006118	TMEM132A	222758_s_at	0.1	0.681670307	0.589933958	0.3	0.00239504	3.502135195						
ENSG00000006125	AP2B1	200615_s_at	0.5	0.001244927	5.073415009	0.5	1.93E-08	7.53364828	-0.1	0.998683232	-1.383727534			
ENSG00000006128	TAC1	206552_s_at	0.2	0.621951992	0.69698885	0.2	0.070066275	2.027638215	-0.1	0.998683232	-0.641473388			
ENSG00000006194	ZNF263	203707_at	-0.5	0.0135221	-3.469984989	-0.3	0.013858607	-2.787739813	0.3	0.998683232	1.846109321			
ENSG00000006210	CX3CL1	203687_at				0.1	0.330500228	1.090215857	-0.1	0.998683232	-0.428348032			
ENSG00000006282	SPATA20	218164_at	-0.3	0.170813975	-1.816040105	-0.5	0.021597176	-2.592920261	-0.4	0.998683232	-1.624330543	-0.2	0.888305525	-0.786934786
ENSG00000006283	CACNA1G	211802_x_at				0.3	7.24E-04	3.951901101						
ENSG00000006327	TNFRSF12A	218368_s_at	-0.5	0.039031101	-2.804771322	-0.6	1.53E-04	-4.507795031	-0.1	0.998683232	-0.349187616			
ENSG00000006377	DLX6	221289_at	0.1	0.645421134	0.654655125	0.4	6.45E-04	3.994517419						
ENSG00000006432	MAP3K9	213927_at	-0.4	0.300707473	-1.384962529	0.1	0.331020476	1.08915922	0.2	0.998683232	1.002274564			
ENSG00000006451	RALA	224880_at	-0.3	0.02775601	-3.021631837	-0.3	2.83E-05	-5.090754728						
ENSG00000006453	BAIAP2L1	222675_s_at	0.2	0.430616795	1.0731687	0.4	2.75E-04	4.302530497	-0.1	0.998683232	-0.339232124			
ENSG00000006459	KDM7A	225142_at	1.6	2.26E-04	6.405271692	1.7	4.05E-14	12.5417639	0.1	0.998683232	0.358610691			
ENSG00000006468	ETV1	206501_x_at	0.2	0.299880113	1.387393125	0.4	2.37E-05	5.150633833	0.1	0.998683232	1.18643479			
ENSG00000006530	AGK	218568_at	0.5	0.00788095	3.812452769	0.3	0.001205465	3.763625475	-0.1	0.998683232	-1.242219335			
ENSG00000006534	ALDH3B1	205640_at	-1.4	1.44E-04	-6.790354697	-1.5	2.62E-15	-13.81230883						
ENSG00000006555	TTC22	235651_at	-1	0.066578313	-2.458958287	-1.1	6.09E-04	-4.015755793	-0.1	0.998683232	-0.212365358			
ENSG00000006576	PHTF2	209780_at	-0.6	9.23E-04	-5.290240381	-0.4	6.32E-06	-5.592817235						
ENSG00000006606	CCL26	223710_at				0.3	4.54E-04	4.122602358	0.2	0.998683232	1.258534997			
ENSG00000006607	FARP2	225652_at	0.2	0.308527158	1.364292746	0.4	2.17E-06	5.950816746	0.2	0.998683232	1.470754929			
ENSG00000006611	USH1C	205137_x_at				0.2	0.089610092	1.898187196						
ENSG00000006625	GGCT	215380_s_at	-0.6	0.003111743	-4.429505531	-0.3	0.002199976	-3.534732012	0.2	0.998683232	1.136032783			
ENSG00000006634	DBF4	204244_s_at				-0.5	0.010515758	-2.905444597	-0.4	0.998683232	-1.389638802			
ENSG00000006638	TBXA2R	207555_s_at	0.2	0.426976412	1.081269832	0.4	2.15E-06	5.954566609						
ENSG00000006652	IFRD1	202146_at	1.8	1.50E-05	9.079476758	1.3	5.18E-13	11.44992061	-0.5	0.998683232	-2.356104929			
ENSG00000006659	LGALS14	220158_at	-0.1	0.555705187	-0.818873295	0.3	0.001629854	3.649726607	0.3	0.998683232	1.953160256			
ENSG00000006695	COX10	1569685_at	-0.6	0.152723055	-1.897855609	-0.9	5.30E-04	-4.065830035				0.3	0.875279519	0.89109567
ENSG00000006695	COX10	203858_s_at	-0.2	0.187878144	-1.746952012	-0.4	8.19E-04	-3.9073456						
ENSG00000006704	GTF2IRD1	218412_s_at	-1.2	4.38E-04	-5.853622844	-1.3	8.16E-10	-8.628213927	-0.1	0.998683232	-0.414586246			
ENSG00000006712	PAF1	202093_s_at	0.3	0.079420905	2.344713048	0.3	2.12E-05	5.187762656						
ENSG00000006715	VPS41	210849_s_at				-0.3	3.76E-05	-4.994656449						
ENSG00000006740	ARHGAP44	205414_s_at				-0.2	0.0339759	-2.385255349	-0.1	0.998683232	-0.772685375			
ENSG00000006744	ELAC2	201767_s_at	-0.7	0.007476491	-3.846666682	-0.5	3.91E-05	-4.981503572						
ENSG00000006747	SCIN	1552365_at	-0.5	0.48259827	-0.96407896	-0.7	0.184477741	-1.482246534	-0.2	0.998683232	-0.241984801	0.1	0.985005991	0.149346607
ENSG00000006756	ARSD	225286_at	-0.6	0.00828678	-3.780070354	-0.8	4.68E-11	-9.672743857	-0.2	0.998683232	-1.520327592			
ENSG00000006757	PNPLA4	209739_s_at	-0.4	0.078943561	-2.34825632	-0.6	3.18E-06	-5.823125072	-0.2	0.998683232	-1.085678779			
ENSG00000006788	MYH13	208208_at	0.3	0.040632697	2.779471574	0.3	3.25E-04	4.24251358	-0.1	0.998683232	-1.108636952			
ENSG00000006831	ADIPOR2	201346_at	-0.1	0.587495781	-0.759725059	-0.2	0.017689185	-2.683055629	-0.1	0.998683232	-0.800500923			
ENSG00000006837	CDKL3	241911_at	0.2	0.160157521	1.863395434	0.1	0.423545012	0.901140531						
ENSG00000007001	UPP2	233155_at	0.1	0.364986543	1.222633597	0.2	0.016384885	2.716354504	0.1	0.998683232	0.434832012			
ENSG00000007038	PRSS21	220051_at	-0.1	0.846082635	-0.290570727	-0.1	0.795408769	-0.300686208	0.2	0.998683232	0.531326097	0.2	0.910880746	0.698089786
ENSG00000007047	MARK4	55065_at	-0.8	0.007952063	-3.806427677	-0.4	0.003551145	-3.349370143	0.5	0.988244755	2.578034248			
ENSG00000007062	PROM1	204304_s_at	0.1	0.744084462	0.477482372				-0.2	0.998683232	-1.118522043			
ENSG00000007080	CCDC124	225454_at	0.1	0.769458638	0.43084563				-0.1	0.998683232	-0.743507053			
ENSG00000007129	CEACAM21	214907_at	-0.3	0.393332976	-1.157626982	-0.2	0.243739316	-1.302118273				-0.1	0.959323474	-0.473448296
ENSG00000007168	PAFAH1B1	200815_s_at	0.3	0.014080945	3.445164043	0.4	8.80E-08	7.019458383						
ENSG00000007171	NOS2	210037_s_at	0.2	0.438811659	1.055747421	0.2	2.94E-04	4.277531292						
ENSG00000007174	DNAH9	207959_s_at	0.1	0.624291807	0.692515351	0.2	0.02533056	2.520970378	-0.1	0.998683232	-0.312686257			
ENSG00000007202	KIAA0100	201728_s_at	-0.8	7.48E-04	-5.44685014	-0.7	1.67E-08	-7.581323701						
ENSG00000007216	SLC13A2	207567_at	0.3	0.092940571	2.238635434	0.2	0.001324823	3.727495226	-0.2	0.998683232	-1.546057561			
ENSG00000007237	GAS7	202192_s_at	-0.8	9.62E-04	-5.259925795	-0.8	4.57E-09	-8.025633379	-0.1	0.998683232	-0.381804909			
ENSG00000007255	TRAPPC6A	204985_s_at				-0.1	0.205360658	-1.414372837	0.2	0.998683232	1.266613275			
ENSG00000007264	MATK	206267_s_at	-0.1	0.883334254	-0.220852501	-0.3	0.041183314	-2.293398505	-0.2	0.998683232	-0.924414902			
ENSG00000007306	CEACAM7	211848_s_at	-0.1	0.807369108	-0.361815542	0.2	0.029158687	2.455667298	0.2	0.998683232	1.089786327			
ENSG00000007312	CD79B	205297_s_at	-1.3	0.00574165	-4.021735607	-0.9	8.68E-05	-4.705301239				-0.4	0.731055806	-1.32327896
ENSG00000007314	SCN4A	206981_at	0.2	0.313901087	1.349652961	0.2	0.002347633	3.509916431						
ENSG00000007341	ST7L	230079_at	-0.4	0.073169073	-2.397064597	-0.8	1.12E-07	-6.938290727	-0.3	0.998683232	-1.355181397			
ENSG00000007350	TKTL1	216370_s_at	0.1	0.695065409	0.565484118	0.4	1.35E-04	4.552062385	0.1	0.998683232	0.419347531			
ENSG00000007372	PAX6	205646_s_at	0.1	0.603725905	0.730346501	0.2	0.008507615	2.99402723	-0.1	0.998683232	-0.414323731			
ENSG00000007376	RPUSD1	226078_at	-0.7	0.001105655	-5.16074815	-0.6	1.08E-07	-6.948792708	0.2	0.998683232	1.201498186			
ENSG00000007384	RHBDF1	218686_s_at	-0.4	0.456465722	-1.018643779	-0.4	0.006701155	-3.094408657	0.2	0.998683232	0.885372549	0.2	0.930575777	0.641305543
ENSG00000007392	LUC7L	223295_s_at	0.3	0.016540886	3.344667339	0.5	3.12E-10	8.975701339	0.1	0.998683232	1.429423182			
ENSG00000007402	CACNA2D2	204811_s_at	0.1	0.73615115	0.491793444				-0.1	0.998683232	-0.764155647			
ENSG00000007516	BAIAP3	216356_x_at							-0.1	0.998683232	-0.680167273			
ENSG00000007520	TSR3	213105_s_at	-0.5	0.004200967	-4.226789754	-0.4	6.40E-05	-4.811648023						
ENSG00000007541	PIGQ	204144_s_at	-0.2	0.277082906	-1.451370172	-0.2	0.005880195	-3.147246572						
ENSG00000007545	CRAMP1	225172_at				0.2	0.002440962	3.494800592	0.2	0.998683232	1.798357825			
ENSG00000007866	TEAD3	209454_s_at	0.5	0.012905773	3.499476625	0.2	0.069720774	2.030222532						
ENSG00000007908	SELE	206211_at				0.1	0.226309666	1.350764311						
ENSG00000007923	DNAJC11	215792_s_at	-0.7	0.007036785	-3.887188104	-0.6	4.21E-07	-6.494360877	0.1	0.998683232	0.326971185			
ENSG00000007933	FMO3	206496_at				0.1	0.484751533	0.790271037	0.1	0.998683232	0.825920493			
ENSG00000007944	MYLIP	223130_s_at				-0.1	0.392467345	-0.960436968	-0.1	0.998683232	-0.670970557			
ENSG00000007952	NOX1	207380_x_at				0.3	0.001562326	3.66593192						
ENSG00000007968	E2F2	228361_at	-1	0.02532299	-3.079164379	-1.5	8.68E-08	-7.024368361	-0.6	0.998683232	-1.451549192			
ENSG00000008018	PSMB1	214288_s_at				-0.1	0.188715167	-1.468041886	-0.1	0.998683232	-0.666900837			
ENSG00000008056	SYN1	1553264_a_at				0.3	0.003939248	3.307940207	0.1	0.998683232	0.686548459			
ENSG00000008083	JARID2	203297_s_at				-0.1	0.469173158	-0.818465311						
ENSG00000008086	CDKL5	227004_at	0.9	0.00325335	4.399348699	0.7	5.30E-05	4.876915608	0.1	0.998683232	0.279891703			
ENSG00000008118	CAMK1G	215161_at	3.5	4.02E-06	10.67693467	2.9	3.57E-19	18.66326013	-0.4	0.998683232	-1.60913925	0.1	0.955237544	0.520053116
ENSG00000008130	NADK	208918_s_at	-0.3	0.073231019	-2.396415867	-0.3	1.61E-05	-5.280335681	0.1	0.998683232	0.751913169			
ENSG00000008196	TFAP2B	214451_at	0.2	0.598826945	0.739255437	0.2	0.032165098	2.410612261	-0.1	0.998683232	-0.374055746			
ENSG00000008197	TFAP2D	233987_at	0.2	0.165834815	1.837188816	0.2	0.007027389	3.074996136	-0.1	0.998683232	-0.839605753			
ENSG00000008226	DLEC1	207896_s_at				0.2	0.010919362	2.889460147	0.1	0.998683232	1.315417576			
